Age,Gender,Annual Income,Monthly Income,Employment Type,Job Experience,Loan Amount,Loan Term,Credit Score,Existing Loans,Debt To Income Ratio,Number of Dependents,Education,Home Ownership,Marital Status,Loan Purpose,Previous Defaults,Savings Balance,Current Balance,EMI,Loan Default
59,Male,87023.31,7251.94,Self-Employed,18,12676.95,24,714,2,0.159,3,Bachelor,Mortgage,Divorced,Education,0,0.0,1190.98,579.14,0
49,Male,195585.46,16298.79,Salaried,26,98526.21,36,667,1,0.2186,0,Bachelor,Mortgage,Single,Education,1,103662.89,45125.26,3319.74,0
35,Female,74927.91,6243.99,Salaried,0,32239.17,24,666,0,0.2455,0,Master,Mortgage,Single,Personal,0,0.0,3033.07,1532.71,0
63,Female,94474.5,7872.88,Salaried,15,18806.13,48,718,4,0.2569,1,Bachelor,Mortgage,Single,Auto,0,23371.63,4307.19,467.99,0
28,Male,68341.99,5695.17,Salaried,2,17614.29,36,717,0,0.0984,2,Bachelor,Rent,Single,Auto,0,27028.49,16584.89,560.13,0
41,Male,56789.47,4732.46,Salaried,4,115261.56,60,721,0,0.5056,1,Bachelor,Rent,Single,Business,0,16855.01,7894.38,2392.64,0
59,Male,128928.5,10744.04,Self-Employed,21,56881.52,36,693,0,0.1684,0,Bachelor,Rent,Divorced,Auto,1,12630.28,8149.64,1808.82,0
39,Male,2803.25,233.6,Unemployed,0,12017.22,36,550,1,1.1883,2,Bachelor,Mortgage,Single,Home,1,2738.07,3202.95,434.45,1
43,Male,119597.97,9966.5,Salaried,18,21530.22,36,639,0,0.0728,1,Bachelor,Mortgage,Single,Auto,0,23326.93,7820.6,725.44,0
31,Female,94070.16,7839.18,Salaried,3,32206.17,36,598,1,0.1657,0,Master,Own,Single,Personal,0,14551.44,9751.2,1085.15,0
31,Male,5382.65,448.55,Unemployed,0,2000.0,60,540,1,0.7881,0,Bachelor,Rent,Divorced,Education,2,6629.56,4074.7,50.79,1
44,Male,168297.77,14024.81,Salaried,4,501705.75,12,712,3,1.5,1,PhD,Rent,Divorced,Home,0,2490.67,2889.41,43874.91,0
56,Male,110404.99,9200.42,Self-Employed,4,347238.0,36,761,0,1.1482,2,Bachelor,Rent,Married,Home,0,7434.48,996.33,10563.65,0
60,Female,5559.99,463.33,Unemployed,0,18262.77,36,635,3,1.5,4,Bachelor,Mortgage,Married,Home,0,3376.31,3633.55,615.34,1
44,Female,7620.15,635.01,Student,0,2229.23,60,619,4,1.5,1,Master,Mortgage,Single,Auto,0,5346.54,1934.14,50.72,1
23,Female,49717.47,4143.12,Salaried,0,29095.94,48,661,1,0.2456,2,High School,Rent,Single,Auto,0,3141.73,2810.06,780.57,0
42,Female,96578.93,8048.24,Self-Employed,0,41367.21,48,623,0,0.1379,0,Bachelor,Rent,Married,Auto,0,55867.78,15378.99,1109.78,0
22,Male,89276.69,7439.72,Salaried,1,27326.36,12,704,2,0.3844,3,Bachelor,Mortgage,Married,Auto,0,30307.67,15114.19,2389.73,0
44,Male,62946.16,5245.51,Salaried,14,52833.05,48,617,0,0.2702,1,Bachelor,Rent,Single,Education,1,36907.45,13266.44,1417.38,0
64,Female,88193.66,7349.47,Salaried,20,38676.18,48,775,0,0.1236,1,High School,Rent,Single,Auto,0,42003.23,21428.91,908.31,0
50,Male,232590.55,19382.55,Salaried,27,91882.53,36,739,1,0.1682,0,Bachelor,Mortgage,Married,Auto,0,0.0,1600.68,2921.84,0
58,Female,110053.45,9171.12,Salaried,18,23884.2,24,670,4,0.2797,0,Bachelor,Rent,Single,Auto,0,13246.1,9091.42,1135.5,0
22,Male,70553.76,5879.48,Self-Employed,0,8646.51,24,586,1,0.1161,2,Bachelor,Rent,Married,Personal,0,0.0,307.64,411.07,0
41,Male,119685.82,9973.82,Salaried,13,70869.49,36,662,0,0.2394,0,Master,Mortgage,Single,Auto,0,52257.28,31700.79,2387.87,0
53,Female,119723.36,9976.95,Salaried,5,237397.25,12,737,2,1.5,0,Master,Rent,Single,Business,0,28720.27,12029.94,20760.74,0
32,Female,51551.86,4295.99,Self-Employed,1,34206.98,24,589,1,0.4204,0,Bachelor,Rent,Married,Education,0,8001.63,6145.72,1626.26,0
42,Female,4470.14,372.51,Unemployed,0,2000.0,36,513,2,1.5,0,Master,Rent,Divorced,Auto,1,4820.58,3019.34,72.3,1
64,Male,203571.7,16964.31,Salaried,31,205497.13,24,710,1,0.5614,1,Bachelor,Rent,Single,Business,0,72510.66,11952.58,9388.08,0
45,Female,3382.87,281.91,Unemployed,0,8193.09,48,649,0,0.4396,1,Bachelor,Mortgage,Single,Home,1,8836.66,4272.09,219.8,1
69,Male,11261.44,938.45,Unemployed,0,3999.02,48,538,0,0.1252,0,Bachelor,Mortgage,Single,Personal,2,5189.76,3511.07,117.47,1
47,Male,77564.2,6463.68,Salaried,7,320110.09,36,547,1,1.5,1,Bachelor,Rent,Married,Home,1,13103.79,6474.53,11572.75,1
62,Male,131153.06,10929.42,Self-Employed,36,119196.85,48,731,0,0.2714,2,High School,Mortgage,Married,Education,0,43516.92,27388.23,2966.22,0
48,Male,113412.63,9451.05,Salaried,21,33561.37,24,706,0,0.1622,3,Bachelor,Rent,Single,Personal,1,32149.01,7411.07,1533.24,0
36,Male,9780.31,815.03,Student,0,40096.01,48,648,0,1.3198,1,Bachelor,Mortgage,Single,Home,0,9606.96,6698.41,1075.68,1
35,Male,134764.93,11230.41,Self-Employed,7,137016.81,24,633,0,0.58,1,Bachelor,Mortgage,Divorced,Business,0,62926.87,37990.29,6514.03,0
67,Male,176258.96,14688.25,Salaried,37,126310.59,36,728,4,0.3227,0,PhD,Rent,Married,Auto,0,4764.82,7562.22,4016.64,0
64,Male,138346.95,11528.91,Salaried,9,100218.82,36,765,1,0.2942,1,Bachelor,Rent,Married,Auto,0,0.0,1981.39,3048.85,0
23,Male,57108.98,4759.08,Salaried,2,18803.57,36,763,4,0.3301,2,High School,Mortgage,Single,Auto,0,18309.28,8575.67,572.04,0
57,Male,129322.91,10776.91,Salaried,12,121789.11,36,742,1,0.3908,1,Bachelor,Mortgage,Single,Auto,0,29681.51,3983.91,3872.86,0
27,Male,51697.5,4308.12,Self-Employed,6,24331.2,48,589,0,0.1515,0,Bachelor,Mortgage,Married,Auto,0,13845.93,3438.49,652.75,0
41,Female,105957.53,8829.79,Salaried,3,348679.82,36,671,0,1.2557,1,Bachelor,Rent,Married,Home,0,51983.86,32252.66,11087.93,0
29,Male,37666.7,3138.89,Salaried,5,21026.51,24,671,0,0.306,3,High School,Mortgage,Married,Auto,0,15098.1,5672.87,960.59,0
59,Male,175778.54,14648.21,Self-Employed,15,61982.47,48,707,0,0.1053,3,Bachelor,Rent,Single,Education,0,46612.74,8417.34,1542.44,0
38,Male,9992.87,832.74,Unemployed,0,16992.58,24,615,2,1.5,2,Master,Mortgage,Married,Home,0,9780.74,6827.31,807.86,1
24,Female,77443.7,6453.64,Self-Employed,1,34646.67,24,647,0,0.2552,0,Bachelor,Mortgage,Married,Education,0,13112.57,5560.59,1647.17,0
45,Female,256350.05,21362.5,Self-Employed,20,148223.55,48,759,0,0.163,0,Master,Mortgage,Divorced,Education,0,131977.78,38890.73,3481.03,0
34,Female,3690.73,307.56,Unemployed,0,12386.5,60,625,1,1.1535,2,Master,Rent,Single,Home,0,7172.96,4163.75,281.83,1
29,Female,74583.2,6215.27,Salaried,0,64807.61,60,597,0,0.2372,0,High School,Rent,Married,Personal,0,32793.97,9038.48,1474.57,0
46,Male,175221.94,14601.83,Self-Employed,23,51055.15,24,664,0,0.1662,1,Bachelor,Mortgage,Married,Auto,0,33827.84,23153.53,2427.25,0
