Customer_ID,Age,Gender,Marital_Status,Education,Employment_Type,Job_Experience,Annual_Income,Monthly_Income,Credit_Score,Loan_Amount,Loan_Term,Interest_Rate,EMI,Existing_Loans,Debt_To_Income_Ratio,Number_of_Dependents,Savings_Balance,Current_Balance,Home_Ownership,Loan_Purpose,Previous_Defaults,Loan_Status,Default
10001,59,Female,Married,Bachelor,Self-Employed,16,150025.66,12502.14,587,513001.36,24,0.1367,24550.77,1,1.5,2,1635.68,3373.91,Mortgage,Home,0,Defaulted,Yes
10002,49,Female,Divorced,High School,Salaried,9,96959.66,8079.97,773,228662.2,36,0.0621,6978.13,2,0.9528,0,3991.38,4362.52,Rent,Home,0,Approved,No
10003,35,Female,Single,High School,Salaried,14,47747.64,3978.97,735,28571.77,48,0.0963,719.59,2,0.305,0,24883.72,13140.64,Mortgage,Auto,0,Approved,No
10004,63,Male,Married,Bachelor,Unemployed,0,6543.78,545.31,612,3000.0,36,0.1209,99.77,1,0.6039,1,3383.19,2310.19,Own,Auto,0,Defaulted,Yes
10005,28,Female,Married,High School,Salaried,5,67390.04,5615.84,674,45568.01,12,0.083,3970.21,1,0.7305,0,21224.16,11261.27,Mortgage,Auto,0,Pending,No
10006,41,Male,Divorced,Bachelor,Salaried,9,115482.18,9623.52,681,254695.32,24,0.1067,11831.81,0,1.2295,3,37881.79,8833.83,Rent,Home,0,Approved,No
10007,59,Female,Divorced,Bachelor,Self-Employed,32,137916.91,11493.08,684,53680.06,36,0.086,1697.04,1,0.1693,0,0.0,1466.71,Rent,Education,0,Approved,No
10008,39,Male,Married,Master,Salaried,1,54057.6,4504.8,688,20926.57,48,0.0846,515.41,0,0.1144,1,20262.57,8352.58,Rent,Education,0,Pending,No
10009,43,Male,Divorced,Bachelor,Student,0,13878.15,1156.51,658,13224.31,24,0.136,632.44,2,0.7842,1,11000.19,4923.83,Rent,Auto,1,Defaulted,Yes
10010,31,Male,Married,Bachelor,Salaried,1,46158.61,3846.55,563,132160.95,36,0.2088,4971.03,0,1.2923,0,0.0,1715.12,Own,Home,1,Defaulted,Yes
10011,31,Female,Single,PhD,Salaried,3,94875.16,7906.26,613,80112.46,60,0.1407,1866.99,0,0.2361,2,35223.9,14517.81,Rent,Auto,0,Pending,No
10012,44,Male,Married,High School,Salaried,2,78990.51,6582.54,780,312785.74,24,0.0774,14109.39,1,1.5,1,21534.4,5237.97,Rent,Home,0,Approved,No
10013,56,Female,Single,Bachelor,Salaried,35,180067.19,15005.6,750,139998.21,36,0.0531,4215.39,0,0.2809,2,35989.5,15426.87,Mortgage,Business,0,Approved,No
10014,60,Male,Married,Master,Salaried,4,159388.28,13282.36,631,79233.08,24,0.1259,3751.64,0,0.2825,2,30466.65,7092.13,Own,Auto,0,Approved,No
10015,44,Male,Divorced,High School,Unemployed,0,10969.46,914.12,492,5155.16,48,0.1917,154.6,1,0.4362,0,5534.93,2536.34,Rent,Auto,2,Defaulted,Yes
